dialogue,sentiment
"Oh. That’s so Monica can keep track. That way if one on them is missing, she can be like, ‘Where’s number 27?!’",negative
"Okay, y'know what? There is no more left, left!",negative
"Oh okay, lift it straight up over your head!",negative
Straight up over your head!,negative
"Okay, fine, whatever. Welcome to the building.",negative
"Look, I know I feel asleep before I could shower and now I don’t have time!",negative
You’re coming on to the entire room!  I’m Chandler.,negative
Joey! He’s working!  You would look,negative
Fine! I’m sorry for your loss!,negative
There’s just so much pressure.,negative
"What’s all this about you guys fighting?! Is this really over a room?! I mean, that is so silly!",negative
"I mean, enough of the silliness!",negative
"Well, why don’t you tell her to stop being silly!",negative
Okay-okay!,negative
"Y'know, this kind of co-dependant, emotionally stunted, sitting in your stupid coffee house with your stupid big cups which, I'm sorry, might as well have nipples on them, and you're like all 'Oh, define me!",negative
Define me!,negative
"Love me, I need love!",negative
Cut it out Ross! I hate to have to save your life and kick your ass in the same day!,negative
Because your all gonna make up fake specials and make me cook them like you did the other night?,negative
What a wank!,negative
"Oh, I cannot believe he’s using our divorce to sell mattresses.",negative
I know!,negative
"And four ninety-nine for a pillow top queen set, who cares about the divorce, those babies will sell themselves.",negative
And I’m appalled for you by the way.,negative
"Ross, tonight was about the two of you getting along.  Oh, would you just see my chiropractor, already.",negative
"Look, honey, I have tried to make nice, it doesn’t work.",negative
"Look sweetie, I could be the bigger man, I could be the biggest man, I could be a big, huge, giant man, and it still wouldn’t make any difference, except that I could pick your Father up and say ‘Like me!",negative
Like me tiny doctor!’,negative
"Rachel one brunch is not gonna solve anything. You gotta face it, okay we’re never gonna get along.",negative
"Okay, well you are just gonna have too, okay.",negative
"Because I already got a Mother and a Father who cannot stay in the same room together, okay, I don’t wanna have to have a separate room for you too!",negative
It's not a purse! It's a shoulder bag.,negative
If you give up every time you'd have a fight with someone you'd never be with anyone longer than—Ohhh!,negative
Ow!!,negative
"Y'know what I didn’t wear this suit for a year because you hated it. Well, guess what? You’re not my girlfriend anymore so...",negative
"Now that you’re on you’re own, you’re free to look as stupid as you like.",negative
"Okay, good bye!",negative
Wait! What?! No!! Elevator!! No!,negative
Go back in time and listen to Phoebe!,negative
"Oh my god, I am losing my mind.",negative
"Yeah, no kidding, this just proves no good can come from  having sex with Ross!",negative
"Of course I have! What do you think, I’m some 30 year old virgin?",negative
"It’s not like, I haven’t any opportunities.",negative
I mean sex does not have to be a big deal!,negative
There shouldn’t be all this rules and restrictions!,negative
Rachel! I’m never gonna think it’s okay for you to cheat on your husband!,negative
Oh what do you know? Virgin!,negative
Behind my brother's back?  ... is exactly the kind of crazy thing you won't be hearing from me.,negative
"So, I hear, you hate me!",negative
A little birdie told me something about you wanting to rip your arm off and throw it at me.,negative
"All right, fine, fine, fine, fine, fine, we've got to do something about our little situation here Joey.",negative
But what does that gonna do...,negative
For Chandler!,negative
"Oh yeah, that was great. Thanks to you, the hottest cocktail waitress there is quitting to teach the third grade!",negative
I can’t believe it! He still hasn’t called.,negative
It’s Joshua.,negative
Phoebe! Come on! Let’s go!  Come on!  Why aren’t you dressed yet?!,negative
"Oh but Mon, if you touch my guitar again I’ll have to pound on you for a little bit.",negative
Ezel!  Hey Gunther! You’re an ezel!,negative
Damnit!,negative
"Fine, I’m mentally unstable.",negative
Crack isn’t even an intravenous drug!,negative
"No, I don’t see it!",negative
"Whoa, I'm sorry. Excuse me. We had this cart.",negative
