dialogue,sentiment
Y'know what?,neutral
"Come on, Lydia, you can do it.",neutral
Okay.,neutral
"Ross, didn't you say that there was an elevator in here?",neutral
Okay.,neutral
You got it?,neutral
"Oh, okay, I get it.",neutral
Howard's the,neutral
"Yes but too me he's just, man.",neutral
Yeah. I really like his glasses.,neutral
What?,neutral
"Oh no wait, oh no, the elastic on my underwear busted.",neutral
"They’re just ten blocks away, if I run, I can make it.",neutral
Hi.,neutral
Hi.,neutral
You mind if I,neutral
"No, please.",neutral
"So uh, what are you in for?",neutral
I talk in my sleep.,neutral
"What a coincidence, I listen in my sleep.",neutral
So why don’t you give me your number?,neutral
Previously on Friends.,neutral
I don’t know exactly. It’s-it’s sorta like wrestling.,neutral
"Yeah, but without the costumes.",neutral
Oh.,neutral
"And it’s not fake, it’s totally brutal.",neutral
"Yeah, it’s two guys in a ring, and the rules are: “They’re",neutral
"Yeah, anything goes, except ah, eye gouging and fish hooking.",neutral
"Huh, what’s fish hooking...   Thanks man, that would have been really hard to describe. What is that taste?",neutral
"What? My hands are totally clean, I just gave the duck a bath.",neutral
It was just so awkward and bumpy.,neutral
"Well, maybe he had some kind of uh, new, cool style, that you're not familiar with.",neutral
And uh maybe you have to get used to it.,neutral
"Oh well, it’s not so bad.",neutral
"Hey buddy, do you think I can borrow your uniform this Thursday?",neutral
How’s your room Rach?,neutral
Isn’t that mine?,neutral
"So uh, you’re not gonna be able to live here for a while, you ladies have a place to stay?",neutral
"Yes, they can stay with us.",neutral
Have you figured out what started the fire Mr. Fireman?,neutral
"I mean no offense, but what you guys do is very different.",neutral
I don’t know if you’d understand.,neutral
"Yeah, none of us have to deal with pressure at our jobs.",neutral
So I’m gonna go through the hotel and see if there’s any other weddings going on.,neutral
Okay. Oh but don’t tell them Monica’s pregnant because they frown on that.,neutral
Okay.,neutral
"Ross, we can handle this.",neutral
"Now wh-what is more important, love or silliness?",neutral
"Well, we are fond of the silliness, but we also have a soft spot for the love.",neutral
Why do you do it?,neutral
I don’t know.,neutral
"Okay! All right! Now, Chandler you-you wanna live with Monica, right?",neutral
"Yeah, I do.",neutral
"And Mon, you wanna live with Chandler, don’t ya?",neutral
Yes.,neutral
Oh.,neutral
"But I don't. Me, Phoebe.",neutral
"Well, I'm not I'm not at all surprised they feel that way.",neutral
"Actually it's, it's quite, y'know, typical behaviour when you have this kind of dysfunctional group dynamic.",neutral
"You just take a big, big swing.",neutral
"Now, don’t hold back.",neutral
What are you doing?,neutral
"Oh, all right.",neutral
Bye!,neutral
Bye!,neutral
"Hey, Joey, could you pass the cheese?",neutral
"Listen uh, I’d prefer it if you didn’t call me Joey.",neutral
"Since I don’t know anyone here, I thought it’d be cool to try out a cool work nickname.",neutral
"Hey, dragon! Here’s your tips from Monday and Tuesday.",neutral
"Yeah, people get pretty generous around the holidays. And it never hurts to wear tight trousers.",neutral
Could the waiters gather around to hear tonight’s specials?,neutral
"Okay, first there is a Chilean Sea Bass prepared with a Mango relish on a bag—Why is nobody writing these down?",neutral
Because we can remember them.,neutral
Hey. When you guys were kids and you played,neutral
I was always Joanne.,neutral
"Question. Was ah, ‘Egg the Gellers!’ the war cry of your neighbourhood?",neutral
"Hey Pheebs, what are you doing?",neutral
"All right, I haven’t lived here in a while, so I have to ask you something.",neutral
Does Monica still turn on the lights in her bedroom?,neutral
Um. yeah.,neutral
I am,neutral
"All right, look, here’s the bottom line Ross, this is fixable, if we act fast, okay.",neutral
"So, I’ll invite him to brunch tomorrow and you can make nice.",neutral
"Okay, look, Ross, I realise that my Father is difficult, but that’s why you have got to be the bigger man here.",neutral
"Okay, okay, okay.  I’ll get the bagels.",neutral
"Okay now Joey, y'know that since you're returning all of this stuff right after the audition you're gonna have to wear underwear?",neutral
"All right, then you'd better show me some of that too then.",neutral
"Okay, it's missing something. Ooh, I know! Umm, okay.",neutral
It looks like a women's purse.,neutral
"No Joey, look. Trust me, all the men are wearing them in the spring catalog. Look.  See look,",neutral
"See look,",neutral
Exactly! Unisex!,neutral
Maybe you need sex.,neutral
"Well, I ain't gonna say no to that.",neutral
"So, um, have you told your parents?",neutral
"No, but it'll be OK, they're pretty cool, my brother's straight so. . .",neutral
Here you go.,neutral
"You know what, I just have one more question, um, if you had figured this out sooner and um, I had been around, do you think that I would have been the one who.",neutral
Hi.,neutral
"I just came over to drop off…nothing. So that weekend kinda sucked, huh?",neutral
What?,neutral
"So, this isn't over?",neutral
"No, it was a fight.",neutral
It's nothing to freak out about.,neutral
I'm afraid so.,neutral
Okay.,neutral
So you like the short hair better.,neutral
What? Yeti—I mean Danny?,neutral
Can I tell you a little secret?,neutral
I want to keep one.,neutral
What? Honey.,neutral
"Oh, I am, my side still hurts from when you crashed into me yesterday.",neutral
I know.,neutral
Got a job on a river boat?,neutral
"Oh I see, so this suit is making a point.",neutral
You like it right?,neutral
Oh absolutely. I like it even more on you than I did on Colonel Sanders.  Ross! Ross! I’m kidding!,neutral
"Yeah, come here!",neutral
What-what was it you were gonna tell us?,neutral
Yeah. Oh! Was how you invented the cotton gin?!,neutral
Hi.,neutral
"Oh uh, up or down?",neutral
Could you press up too please?,neutral
Oh yeah? How’d yours happen?,neutral
"Well, it’s a long story.",neutral
It’s kind of embarrassing.,neutral
How about you?,neutral
"Oh, let me guess some idiot on a cell phone wasn’t paying attention?",neutral
"Yeah. Me.  Oh hey, that’s me.  Hey uh, I take it you’re just visiting someone.",neutral
"Uh-huh, yeah.",neutral
"Well umm, if you have sometime y’know and maybe you might want to visit someone else",neutral
"Uh, you gotta press the button.",neutral
"Oh we did, and you still have all your lamps.",neutral
"Oh dude, don't worry about it, I found an unattended maid's car.    We're way ahead of the game.",neutral
There's a forest right outside.,neutral
It's not the same.,neutral
"Whoops.  Oh, hey, do you need help with that?",neutral
"No-no, sorry. Cookies are good, thanks.",neutral
Oh.,neutral
"Well, so, umm, anyway umm, I’ve been, I’ve been looking for my Father, and umm, have you heard from him, or seen him?",neutral
"Oh, okay. Well, so tell me everything about my parents. Everything.",neutral
"Ohh, well. Y'know we were always together, in fact the had a nickname for the three of us.",neutral
"Alright here’s something, it says to try holding the baby  close to your body and then swing her rapidly from side to side.",neutral
Ok.,neutral
"Umm, she Rach, not it, she.",neutral
"Yeah, I’m not so sure.",neutral
"Well, you’re not.",neutral
"I mean, y’know, I’m just waiting for the perfect guy.",neutral
"I’m seeing this guy Roger, all right?",neutral
"He’s not perfect, but umm, I think maybe I should just get it over with.",neutral
"Y’know, give him my flower.",neutral
"Y’know, people should be able to sleep with who ever they want, whenever",neutral
"Push, push!",neutral
Where have you been?,neutral
"Long story, honey.",neutral
"All right, Carol, I need you to keep pushing. I need— Excuse me, could I have this?",neutral
C'mon up.,neutral
"I, ah, I never said hate, I was very careful about that.",neutral
"So, this is my idea: you and me spending some quality time together.",neutral
I was wondering if you would consider coaching me for it?,neutral
"Hi!  Hi!  Hi. Has umm, anyone seen Chandler?",neutral
I thought he was with you.,neutral
"He-he was with me umm, we’re playing a little game, y’know? Hide and seek.",neutral
"You can’t ask us son, that’s cheating.",neutral
"You’re right, thanks for keeping me honest dad.",neutral
"Well, he better not come by here. He can’t see the bride in the wedding dress.",neutral
"But that was after the wedding, it’s not bad luck then.",neutral
"Honey, it isn’t good luck.",neutral
"I know! Hey, how’s Chandler doin’?",neutral
Great. He’s doing great. Don’t you worry about Chandler.,neutral
"I’m really glad you guys are okay but, I just keep thinking what would happen if-if you two  actually had hooked up.",neutral
"So, we did okay at the strip club, right?",neutral
"All right, well I’m gonna put my sweats back on.",neutral
Because we’re girls.,neutral
"Y’know, I’m not gonna play anymore,  would you, can you finish my set?",neutral
"Yeah, like I could",neutral
"Yeah—no, just that last song.",neutral
"Oh, I was thinking about having people over for the game.",neutral
"Oh yeah, who’s playing?",neutral
The players.,neutral
Somebody seems to be missing being the hostess.,neutral
"Please, it’s a relief is what it is, is what it is.",neutral
"All right Pheebs, stick out your plate!",neutral
Oh.,neutral
Whose is it?,neutral
I don’t want to say.,neutral
Diane Keaton.,neutral
"I’m sorry, but I just wrote the best dance song for your wedding. Check this out.",neutral
"No, Phoebe, I’ll tell you what, if you get ready now I’ll let you play it at the wedding.",neutral
"Fair enough, now go get ready!",neutral
"I’ll get everybody else , finally we can start celebrating my— I’m sorry, uh apparently I’ve opened the door to the past.",neutral
"Though late one night, not much light, I....",neutral
"""You wanna go over to Joey and Chandler’s?""",neutral
"""Can’t, its not there.""",neutral
"Look, I’m just gonna be across the hall, we can still do all the same stuff.",neutral
Not once did we do that.,neutral
Hi.,neutral
Hey!,neutral
Hi.,neutral
