Utterance,Emotion,Sentiment,Arousal
Why do all you’re coffee mugs have numbers on the bottom?,surprise,positive,-0.0884545454545454
"Oh. That’s so Monica can keep track. That way if one on them is missing, she can be like, ‘Where’s number 27?!’",anger,negative,-0.1548636363636363
"Come on, Lydia, you can do it.",neutral,neutral,-0.1325714285714285
"Push 'em out, push 'em out, way out!",joy,positive,-0.00225
"Let's get that ball and really move, hey, hey, ho, ho.",joy,positive,-0.023
"Let's—  I was just—yeah, right.",joy,positive,-0.0631666666666666
Okay.,neutral,neutral,-0.304
"Ross, didn't you say that there was an elevator in here?",neutral,neutral,-0.0161818181818181
"Okay, go left. Left! Left!",surprise,negative,-0.2404
"Okay, y'know what? There is no more left, left!",anger,negative,-0.0864444444444444
You can do it!,joy,positive,-0.1164999999999999
"Oh, okay, I get it.",neutral,neutral,-0.0795999999999999
"No wait, look. Look! I'm sorry, it's just I've never even",fear,negative,-0.1527272727272727
Howard's the,neutral,neutral,0.0
"Okay, fine, whatever. Welcome to the building.",anger,negative,-0.1911428571428571
"Ugh, can you believe that guy!",disgust,negative,-0.1565
Yeah. I really like his glasses.,neutral,neutral,-0.1986666666666666
Ohh!,surprise,positive,-0.298
It kicked! I think the baby kicked!,surprise,positive,-0.1051428571428571
"Oh no wait, oh no, the elastic on my underwear busted.",neutral,neutral,-0.021090909090909
Oh my God! I overslept! I was supposed to be on the set a half an hour ago! I gotta get out of here!,fear,negative,-0.099625
"Oh wait, Joey, you can’t go like that! You stink!",disgust,negative,-0.1039
"Look, I know I feel asleep before I could shower and now I don’t have time!",anger,negative,-0.1783124999999999
"They’re just ten blocks away, if I run, I can make it.",neutral,neutral,-0.101
You’re coming on to the entire room!  I’m Chandler.,anger,negative,-0.0771999999999999
You mind if I,neutral,neutral,-0.056
"No, please.",neutral,neutral,-0.132
I talk in my sleep.,neutral,neutral,-0.2435999999999999
"What a coincidence, I listen in my sleep.",neutral,neutral,-0.1555
So why don’t you give me your number?,neutral,neutral,-0.022375
Previously on Friends.,neutral,neutral,-0.102
I don’t know exactly. It’s-it’s sorta like wrestling.,neutral,neutral,-0.0224999999999999
Oh?!,surprise,negative,0.0
"Yeah, but without the costumes.",neutral,neutral,-0.1336
Oh.,neutral,neutral,0.0
"Yeah, it’s two guys in a ring, and the rules are: “They’re",neutral,neutral,-0.1229999999999999
"So you can like, bite, and pull people’s hair and stuff?",surprise,negative,-0.046
"Yeah, anything goes, except ah, eye gouging and fish hooking.",neutral,neutral,-0.0632
What’s fish hooking?,surprise,negative,-0.1466666666666666
"Huh, what’s fish hooking...   Thanks man, that would have been really hard to describe. What is that taste?",neutral,neutral,-0.0782
"What? My hands are totally clean, I just gave the duck a bath.",neutral,neutral,-0.0985384615384615
"Oh, Bob, he was nothing compared to you. I had to bite my lip to keep from screaming your name.",sadness,negative,-0.0296499999999999
"Well, that makes me feel so good.",joy,positive,-0.0574285714285714
"Well, maybe he had some kind of uh, new, cool style, that you're not familiar with.",neutral,neutral,-0.0625625
And uh maybe you have to get used to it.,neutral,neutral,-0.0667
"Well there really wasn't much time to get used to it, you know what I mean?",joy,positive,-0.0914375
"Oh well, it’s not so bad.",neutral,neutral,-0.0015
"Yeah, most of the damage is pretty mostly contained in the bedrooms.",sadness,negative,-0.0201666666666666
Oh!,surprise,negative,0.0
"Hey buddy, do you think I can borrow your uniform this Thursday?",neutral,neutral,-0.083
Joey! He’s working!  You would look,anger,negative,-0.0211428571428571
"Oh, how bad is it?",sadness,negative,-0.0063999999999999
How’s your room Rach?,neutral,neutral,-0.1085
Everything’s ruined. My bed. My clothes. Look at my favorite blue sweater.,sadness,negative,-0.182
Isn’t that mine?,neutral,neutral,-0.029
Fine! I’m sorry for your loss!,anger,negative,-0.1103333333333333
"So uh, you’re not gonna be able to live here for a while, you ladies have a place to stay?",neutral,neutral,-0.03285
"Wow! Oh-okay, look pal, I am",joy,positive,-0.0474999999999999
"Yes, they can stay with us.",neutral,neutral,-0.1008333333333333
I don’t know if you’d understand.,neutral,neutral,-0.0883333333333333
"Yeah, none of us have to deal with pressure at our jobs.",neutral,neutral,-0.0263333333333333
I mean there’s no way Joey’s gonna make it in time.,fear,negative,-0.0649999999999999
"What’s all this about you guys fighting?! Is this really over a room?! I mean, that is so silly!",anger,negative,-0.0096842105263157
"Well, apparently not, and I can’t just stand by and watch two people I care about very much be hurt over something that is so silly.",sadness,negative,-0.0892692307692307
"I mean, enough of the silliness!",anger,negative,-0.0833333333333333
"Well, why don’t you tell her to stop being silly!",anger,negative,-0.0173999999999999
Okay-okay!,anger,negative,0.0
"Two very good points, look I’ve known you both a long time, and I’ve never seen either of you one/millionth as happy as you’ve been since you’ve got together.",sadness,negative,-0.1048620689655172
That is so silly.,joy,positive,-0.0562499999999999
"Well, we are fond of the silliness, but we also have a soft spot for the love.",neutral,neutral,-0.0385294117647058
Love is the best medicine.,joy,positive,-0.0179999999999999
I don’t know.,neutral,neutral,-0.0926666666666666
"Okay! All right! Now, Chandler you-you wanna live with Monica, right?",neutral,neutral,-0.0736363636363636
"Yeah, I do.",neutral,neutral,-0.074
Good! A verbal contract is binding in the state of New York!,joy,positive,-0.1156666666666666
"But I don't. Me, Phoebe.",neutral,neutral,-0.0084
"Actually it's, it's quite, y'know, typical behaviour when you have this kind of dysfunctional group dynamic.",neutral,neutral,-0.1276249999999999
"Y'know, this kind of co-dependant, emotionally stunted, sitting in your stupid coffee house with your stupid big cups which, I'm sorry, might as well have nipples on them, and you're like all 'Oh, define me!",anger,negative,-0.0455999999999999
Define me!,anger,negative,-0.085
Have you really done this before?,surprise,positive,-0.103
Yeah!,joy,positive,-0.318
"Now, don’t hold back.",neutral,neutral,-0.2194999999999999
Hey!,joy,positive,-0.206
Hey-hey-hey!,joy,positive,0.0
"Oh, all right.",neutral,neutral,-0.0986666666666666
"Yeah! Sure! Yep!  Oh, y'know what? If I heard a shot right now, I'd throw my body on you.",joy,positive,-0.052
Oh yeah? Well maybe you and I should take a walk through a bad neighborhood.,joy,positive,-0.0272
Okay!,joy,positive,-0.304
Bye!,neutral,neutral,-0.204
Cut it out Ross! I hate to have to save your life and kick your ass in the same day!,anger,negative,-0.0066
"Hey, Joey, could you pass the cheese?",neutral,neutral,-0.1971428571428571
"Listen uh, I’d prefer it if you didn’t call me Joey.",neutral,neutral,-0.0489090909090909
"Since I don’t know anyone here, I thought it’d be cool to try out a cool work nickname.",neutral,neutral,-0.0541111111111111
"Hey, dragon! Here’s your tips from Monday and Tuesday.",neutral,neutral,-0.0217777777777777
There’s like-there’s like 300 bucks in this one!,surprise,negative,-0.0694999999999999
"Yeah, people get pretty generous around the holidays. And it never hurts to wear tight trousers.",neutral,neutral,-0.0863749999999999
Could the waiters gather around to hear tonight’s specials?,neutral,neutral,-0.1046666666666666
"Okay, first there is a Chilean Sea Bass prepared with a Mango relish on a bag—Why is nobody writing these down?",neutral,neutral,-0.0948571428571428
Because we can remember them.,neutral,neutral,-0.0288
Hey. When you guys were kids and you played,neutral,neutral,-0.0524444444444444
I was always Joanne.,neutral,neutral,-0.02075
Ewww! Oh! It’s the Mattress King!,disgust,negative,-0.0183333333333333
Don’t look honey. Change the channel! Change the channel!,disgust,negative,-0.0924444444444444
"Wait! Wait! I wanna see this. After I divorce him, half of that kingdom is gonna be mine.",joy,positive,-0.094
"Oh, I cannot believe he’s using our divorce to sell mattresses.",anger,negative,-0.036
I know!,anger,negative,-0.139
"And four ninety-nine for a pillow top queen set, who cares about the divorce, those babies will sell themselves.",anger,negative,-0.0259999999999999
"You had to do it, didn’t you? You couldn’t just leave it alone.",sadness,negative,-0.1156923076923076
Four percent. Okay. I tip more than that when there’s a bug in my food.,disgust,negative,-0.0879333333333333
"Ross, tonight was about the two of you getting along.  Oh, would you just see my chiropractor, already.",anger,negative,-0.0664210526315789
"Hey Pheebs, what are you doing?",neutral,neutral,-0.0266666666666666
"I’m, I’m freaking out!",fear,negative,0.0
Monica kinda trusted me with something and she shouldn’t have!,fear,negative,-0.0222
"All right, I haven’t lived here in a while, so I have to ask you something.",neutral,neutral,-0.0659375
Does Monica still turn on the lights in her bedroom?,neutral,neutral,-0.198
Um. yeah.,neutral,neutral,-0.302
I am,neutral,neutral,0.0
"All right, look, here’s the bottom line Ross, this is fixable, if we act fast, okay.",neutral,neutral,-0.0324375
"So, I’ll invite him to brunch tomorrow and you can make nice.",neutral,neutral,-0.0638333333333333
"Look, honey, I have tried to make nice, it doesn’t work.",anger,negative,-0.0182727272727272
"Look sweetie, I could be the bigger man, I could be the biggest man, I could be a big, huge, giant man, and it still wouldn’t make any difference, except that I could pick your Father up and say ‘Like me!",anger,negative,-0.0884634146341463
Like me tiny doctor!’,anger,negative,-0.2254999999999999
"Okay, well can’t you just try it one more time Ross? For me? For me?",sadness,negative,-0.1055333333333333
"Rachel one brunch is not gonna solve anything. You gotta face it, okay we’re never gonna get along.",anger,negative,-0.0412222222222222
"Okay, well you are just gonna have too, okay.",anger,negative,-0.0468888888888888
"Because I already got a Mother and a Father who cannot stay in the same room together, okay, I don’t wanna have to have a separate room for you too!",anger,negative,-0.1079333333333333
"Okay, okay, okay.  I’ll get the bagels.",neutral,neutral,-0.12475
"Okay now Joey, y'know that since you're returning all of this stuff right after the audition you're gonna have to wear underwear?",neutral,neutral,-0.016
"Okay, it's missing something. Ooh, I know! Umm, okay.",neutral,neutral,-0.2013333333333333
Really? A purse?,surprise,positive,-0.216
It's not a purse! It's a shoulder bag.,anger,negative,-0.2674999999999999
It looks like a women's purse.,neutral,neutral,-0.2276666666666666
"No Joey, look. Trust me, all the men are wearing them in the spring catalog. Look.  See look,",neutral,neutral,-0.0827368421052631
"See look,",neutral,neutral,-0.302
Exactly! Unisex!,neutral,neutral,-0.083
No! No Joey! U-N-I-sex.,joy,positive,-0.0415
"So, um, have you told your parents?",neutral,neutral,-0.1497142857142857
"No, but it'll be OK, they're pretty cool, my brother's straight so. . .",neutral,neutral,-0.0489999999999999
Here you go.,neutral,neutral,-0.0393333333333333
"You know what, I just have one more question, um, if you had figured this out sooner and um, I had been around, do you think that I would have been the one who.",neutral,neutral,-0.1205
"no, um, I'm sorry, don't tell me, I don't think either answer would make me feel better.",sadness,negative,-0.1036470588235294
So your brother's straigh huh? Seriously.,surprise,positive,-0.1026666666666666
"I just came over to drop off…nothing. So that weekend kinda sucked, huh?",neutral,neutral,-0.0243076923076923
"So, I guess this is over.",sadness,negative,-0.0061666666666666
"Well, y'know, you and me, it had to end sometime.",sadness,negative,-0.1181
If you give up every time you'd have a fight with someone you'd never be with anyone longer than—Ohhh!,anger,negative,-0.0239999999999999
You are so cute!,joy,positive,-0.03
No.,joy,positive,0.0
It's nothing to freak out about.,neutral,neutral,-0.1006666666666666
"Ohh, welcome to an adult relationship!",joy,positive,-0.0123333333333333
So you like the short hair better.,neutral,neutral,-0.1885714285714285
What? Yeti—I mean Danny?,neutral,neutral,-0.005
Can I tell you a little secret?,neutral,neutral,-0.1571428571428572
I want to keep one.,neutral,neutral,-0.108
What? Honey.,neutral,neutral,-0.046
"Oh, I am, my side still hurts from when you crashed into me yesterday.",neutral,neutral,-0.0932857142857142
"Oh God, I’m so sorry.",sadness,negative,-0.048
I know.,neutral,neutral,-0.139
Ow!!,anger,negative,0.0
"Hey, you guys! Guess what?",joy,positive,-0.0999999999999999
"Y'know what I didn’t wear this suit for a year because you hated it. Well, guess what? You’re not my girlfriend anymore so...",anger,negative,-0.0665217391304348
"Oh I see, so this suit is making a point.",neutral,neutral,-0.1512
"Now that you’re on you’re own, you’re free to look as stupid as you like.",anger,negative,-0.0567333333333333
You like it right?,neutral,neutral,-0.2179999999999999
"Yeah, come here!",neutral,neutral,-0.26
Yeah. Oh! Was how you invented the cotton gin?!,neutral,neutral,-0.1285555555555555
"Okay, good bye!",anger,negative,-0.2573333333333333
Oh down please.  I-I hate to be a ball buster can I just do it?,joy,positive,-0.071875
Sure! I feel so bad for you. I broke my leg once too.,sadness,negative,-0.0364615384615384
"Well, it’s a long story.",neutral,neutral,-0.1481999999999999
Let’s just say there was a typographical error with a sex manual.,joy,positive,-0.0289166666666666
How about you?,neutral,neutral,0.0
"Oh, let me guess some idiot on a cell phone wasn’t paying attention?",neutral,neutral,-0.0429230769230769
"Yeah. Me.  Oh hey, that’s me.  Hey uh, I take it you’re just visiting someone.",neutral,neutral,-0.0755294117647058
"Uh-huh, yeah.",neutral,neutral,-0.159
"Well umm, if you have sometime y’know and maybe you might want to visit someone else",neutral,neutral,-0.0151875
Oh yeah! I-I would like that.,joy,positive,-0.1185
Wait! What?! No!! Elevator!! No!,anger,negative,-0.0824
"Uh, you gotta press the button.",neutral,neutral,-0.0866666666666666
"Oh we did, and you still have all your lamps.",neutral,neutral,-0.0617999999999999
"Oh, I didn't factor in the room tax.",surprise,negative,-0.09275
"Oh dude, don't worry about it, I found an unattended maid's car.    We're way ahead of the game.",neutral,neutral,-0.0225714285714285
There's something new in the bowl.,surprise,positive,-0.0443333333333333
"Look, we have enough, just walk away.",fear,negative,-0.0824285714285714
"No, but I want...I want the pinecones!",joy,positive,-0.0844285714285714
There's a forest right outside.,neutral,neutral,-0.1903999999999999
It's not the same.,neutral,neutral,-0.1805
Thank you for a delightful stay.,joy,positive,-0.0456666666666666
"Oh, my maple candy!",joy,positive,-0.0925
"Oh,  I wish. No, you know he was just trying Ross's Hug and Roll thing.",joy,positive,-0.0548125
"You know what, where he hugs you and kinda rolls you away and... Oh... my....God.",disgust,negative,-0.0434666666666666
"Take it easy--if you want, there’s cookies on the counter, or, or--sangria!  I can make sangria!",joy,positive,-0.0297647058823529
"No-no, sorry. Cookies are good, thanks.",neutral,neutral,-0.1156666666666666
"Well, so, umm, anyway umm, I’ve been, I’ve been looking for my Father, and umm, have you heard from him, or seen him?",neutral,neutral,-0.1650869565217391
"Oh, okay. Well, so tell me everything about my parents. Everything.",neutral,neutral,-0.1044545454545454
