Utterance,Emotion,Sentiment,Arousal
Y'know what?,neutral,neutral,0.023
Push!,joy,positive,0.216
"Push 'em out, push 'em out, harder, harder.",joy,positive,0.0855
"Uhh, yes I did but there isn't. Okay, here we go.",sadness,negative,0.0715454545454545
"Oh okay, lift it straight up over your head!",anger,negative,0.0247777777777777
Straight up over your head!,anger,negative,0.1546
You got it?,neutral,neutral,0.1283333333333333
"Yes but too me he's just, man.",neutral,neutral,0.0178571428571428
What?,neutral,neutral,0.046
Oh my God!,surprise,positive,0.0119999999999999
Hi.,neutral,neutral,0.593
"So uh, what are you in for?",neutral,neutral,0.0065714285714285
"And it’s not fake, it’s totally brutal.",neutral,neutral,0.1022857142857142
It was just so awkward and bumpy.,neutral,neutral,0.043
Bumpy?,surprise,negative,0.366
Coming through!  Oh! Coming through!  Oh! Hello! Hi!  No! Right! Coming through!,fear,negative,0.0054666666666666
My God!,surprise,negative,0.018
Excuse me?,surprise,positive,0.196
"Oh, it’s bad. It’s really bad. The only thing in there that isn’t burned is an ass. Which I do",sadness,negative,0.0161499999999999
Have you figured out what started the fire Mr. Fireman?,neutral,neutral,0.0921999999999999
There’s just so much pressure.,anger,negative,0.06
"I mean no offense, but what you guys do is very different.",neutral,neutral,0.0106666666666666
"Well Phoebe, we gotta do something!",sadness,negative,0.0423333333333333
So I’m gonna go through the hotel and see if there’s any other weddings going on.,neutral,neutral,0.0426249999999999
Okay. Oh but don’t tell them Monica’s pregnant because they frown on that.,neutral,neutral,0.0075384615384615
"Ross, we can handle this.",neutral,neutral,0.0557999999999999
Do you really want to throw that all away over a room?,sadness,negative,0.0263333333333333
"Now wh-what is more important, love or silliness?",neutral,neutral,0.02075
That’s laughter.,joy,positive,0.154
Why do you do it?,neutral,neutral,0.1153999999999999
"And Mon, you wanna live with Chandler, don’t ya?",neutral,neutral,0.0277777777777777
Yes.,neutral,neutral,0.125
"Well, I'm not I'm not at all surprised they feel that way.",neutral,neutral,0.0234999999999999
"You're not? See, that's why you're so great!",surprise,positive,0.066875
"Love me, I need love!",anger,negative,0.1632
"You just take a big, big swing.",neutral,neutral,0.0637142857142857
What are you doing?,neutral,neutral,0.0115
We’re just celebrating that Joey got his health insurance back.,joy,positive,0.048
Because your all gonna make up fake specials and make me cook them like you did the other night?,anger,negative,0.0500526315789473
"Question. Was ah, ‘Egg the Gellers!’ the war cry of your neighbourhood?",neutral,neutral,0.0645833333333333
What a wank!,anger,negative,0.2653333333333333
And I’m appalled for you by the way.,anger,negative,0.0167499999999999
"Yeah, I’m gonna go to a doctor who went to school in a mini-mall.",disgust,negative,0.0486428571428571
"Okay, look, Ross, I realise that my Father is difficult, but that’s why you have got to be the bigger man here.",neutral,neutral,0.0088636363636363
"All right, then you'd better show me some of that too then.",neutral,neutral,0.0330833333333333
Maybe you need sex.,neutral,neutral,0.26575
"Well, I ain't gonna say no to that.",neutral,neutral,0.013125
I love you Phoebe.,joy,positive,0.0835
"Yeah, it did.",joy,positive,0.0223333333333333
"Why, exactly?",surprise,negative,0.3335
"Because of the weekend, we had a fight.",sadness,negative,0.17625
Chandler that's crazy!,surprise,positive,0.1966666666666666
"So, this isn't over?",neutral,neutral,0.00925
"No, it was a fight.",neutral,neutral,0.1006
You deal with it and move on!,joy,positive,0.03
Really? Okay. Great!,joy,positive,0.0086666666666666
We're in a relationship?,surprise,negative,0.033
I'm afraid so.,neutral,neutral,0.1173333333333333
Hi!,joy,positive,0.593
"Ohh, I'm gonna be on the news!",joy,positive,0.0012857142857142
Oh God!,surprise,negative,0.018
Got a job on a river boat?,neutral,neutral,0.0532857142857142
Oh absolutely. I like it even more on you than I did on Colonel Sanders.  Ross! Ross! I’m kidding!,neutral,neutral,0.0361
What-what was it you were gonna tell us?,neutral,neutral,0.00025
Hey I got one! I got one!,joy,positive,0.0422857142857143
"Oh uh, up or down?",neutral,neutral,0.0904
Could you press up too please?,neutral,neutral,0.031
Oh yeah? How’d yours happen?,neutral,neutral,0.0044
It’s kind of embarrassing.,neutral,neutral,0.0244999999999999
Car accident.,sadness,negative,0.4479999999999999
Oh my god.,surprise,positive,0.0119999999999999
What?,surprise,positive,0.046
"Ok, go quick!",fear,negative,0.1306666666666666
"Oh my God, what happened?",surprise,negative,0.0163999999999999
"Oh. God, crazy Chandler. He spun me...off...the...bed!",joy,positive,0.1847142857142857
Wow! Spinning that sounds like fun.,joy,positive,0.1511666666666666
Ross's what?,surprise,positive,0.023
"Whoops.  Oh, hey, do you need help with that?",neutral,neutral,0.0018999999999999
"Yes!! Yes! Yes! Yes!! That’s my Dad, that’s Frank! Yeah! I’m sorry I’m getting all flingy.",surprise,positive,0.0070624999999999
"Oh no, I-I’m sorry, I guess we lost track of everybody after high school.",sadness,negative,0.0110714285714285
"Well, alright, we already tried feeding her, changing her,  burping her, oh try this one!",sadness,negative,0.0066875
"Oh my god, I am losing my mind.",anger,negative,0.0229999999999999
"Oh, it’s so easy for you I mean, you’re not married, you get to have sex with who ever you want!",disgust,negative,0.0280952380952381
"It’s not like, I haven’t any opportunities.",anger,negative,0.0464285714285714
I mean sex does not have to be a big deal!,anger,negative,0.0105454545454545
Rachel! I’m never gonna think it’s okay for you to cheat on your husband!,anger,negative,0.0399285714285714
"Push, push!",neutral,neutral,0.216
C'mon up.,neutral,neutral,0.434
"So, I hear, you hate me!",anger,negative,0.077
"I, ah, I never said hate, I was very careful about that.",neutral,neutral,0.0418333333333333
And you got a 'hate' from that?! Your taking a big leap there...,fear,negative,0.1423076923076923
But what does that gonna do...,anger,negative,0.093
"Guess what, I got an audition!",joy,positive,0.1681666666666666
"Awww, one of my students got an audition. I’m so proud.",joy,positive,0.028090909090909
"Hi!  Hi!  Hi. Has umm, anyone seen Chandler?",neutral,neutral,0.1115
"As I recall when we got married, I saw the groom in the wedding dress.",joy,positive,0.0808
"But that was after the wedding, it’s not bad luck then.",neutral,neutral,0.0752727272727272
Oh my God! Monica!,surprise,positive,0.009
Great. He’s doing great. Don’t you worry about Chandler.,neutral,neutral,0.124
"So, we did okay at the strip club, right?",neutral,neutral,0.08
"We really weren’t great at being guys, but you know why?",sadness,negative,0.079090909090909
Because we’re girls.,neutral,neutral,0.1683333333333333
"Y’know, I’m not gonna play anymore,  would you, can you finish my set?",neutral,neutral,0.015
I played bad on purpose guys.,joy,positive,0.0063333333333333
The players.,neutral,neutral,0.188
"I’m sorry, but I just wrote the best dance song for your wedding. Check this out.",neutral,neutral,0.048
"No, Phoebe, I’ll tell you what, if you get ready now I’ll let you play it at the wedding.",neutral,neutral,0.0037368421052631
Oh that’s so exciting!,joy,positive,0.146
With them I’m one hot chicky.,joy,positive,0.0106666666666666
I stepped in something icky.,joy,positive,0.1262
Not once did we do that.,neutral,neutral,0.1438333333333333
"Really well. Yeah. Surprisingly well. Yeah, she didn’t cry. She wasn’t angry or sad.",neutral,neutral,0.0008571428571428
Woo-hoo!!,joy,positive,0.34
Y'know what if we went away for a whole weekend?,neutral,neutral,0.0684999999999999
Y'know we'd have no interruptions and we could be naked the entire time.,joy,positive,0.0125384615384615
All weekend? That's a whole lotta naked.,surprise,positive,0.1048571428571428
"Yeah, but when the baby comes she’s gonna want to move.",neutral,neutral,0.0177272727272727
"Yeah, you didn’t expect her to live there with a baby did you?",surprise,negative,0.006076923076923
Look what I got! Look what I got! Look what I got!  Can you believe they make these for little people?,surprise,positive,0.0060454545454545
I know! Phoebe is gonna love dressing them in these!,joy,positive,0.0723
Because she’s not gonna get to keep the babies.,sadness,negative,0.1098888888888889
"Unless, we give her all gifts she can use after she’s done being pregnant.",joy,positive,0.0330714285714285
"Oh, she’s gonna love that!",joy,positive,0.2156
So based on your petition you are seeking an annulment on the grounds that Mr. Geller is mentally unstable.,neutral,neutral,0.0118421052631578
And based on the fact that Mr. Geller is intravenous drug user.,neutral,neutral,0.0077499999999999
What?!,surprise,negative,0.046
"Uh yes, heroin and crack.",neutral,neutral,0.2122
