Utterance,Emotion,Sentiment,Dominance
Why do all you’re coffee mugs have numbers on the bottom?,surprise,positive,-0.0655454545454545
"Oh. That’s so Monica can keep track. That way if one on them is missing, she can be like, ‘Where’s number 27?!’",anger,negative,-0.0404545454545454
Y'know what?,neutral,neutral,0.0
"Push 'em out, push 'em out, way out!",joy,positive,-0.008
"Let's get that ball and really move, hey, hey, ho, ho.",joy,positive,-0.0572727272727272
Okay.,neutral,neutral,-0.234
"Okay, go left. Left! Left!",surprise,negative,-0.236
"Okay, y'know what? There is no more left, left!",anger,negative,-0.0037777777777777
You can do it!,joy,positive,-0.005
You got it?,neutral,neutral,0.0
"No wait, look. Look! I'm sorry, it's just I've never even",fear,negative,-0.0361818181818181
Howard's the,neutral,neutral,0.0
"Ugh, can you believe that guy!",disgust,negative,-0.0106666666666666
Yeah. I really like his glasses.,neutral,neutral,-0.095
Ohh!,surprise,positive,-0.25
What?,neutral,neutral,0.0
"Oh no wait, oh no, the elastic on my underwear busted.",neutral,neutral,-0.1096363636363636
"Oh wait, Joey, you can’t go like that! You stink!",disgust,negative,-0.1331999999999999
"Look, I know I feel asleep before I could shower and now I don’t have time!",anger,negative,-0.0074999999999999
"They’re just ten blocks away, if I run, I can make it.",neutral,neutral,-0.0168333333333333
Hi.,neutral,neutral,0.0
"No, please.",neutral,neutral,-0.071
I talk in my sleep.,neutral,neutral,-0.0187999999999999
"What a coincidence, I listen in my sleep.",neutral,neutral,-0.0445
So why don’t you give me your number?,neutral,neutral,-0.0106249999999999
Oh?!,surprise,negative,0.0
"Yeah, but without the costumes.",neutral,neutral,-0.1748
Oh.,neutral,neutral,0.0
"Yeah, it’s two guys in a ring, and the rules are: “They’re",neutral,neutral,-0.009
"So you can like, bite, and pull people’s hair and stuff?",surprise,negative,-0.1032727272727272
"Yeah, anything goes, except ah, eye gouging and fish hooking.",neutral,neutral,-0.0703999999999999
What’s fish hooking?,surprise,negative,-0.1666666666666666
