Utterance,Emotion,Sentiment,Dominance
"Come on, Lydia, you can do it.",neutral,neutral,0.0217142857142857
Push!,joy,positive,0.048
"Push 'em out, push 'em out, harder, harder.",joy,positive,0.0034999999999999
"Let's—  I was just—yeah, right.",joy,positive,0.0699999999999999
"Ross, didn't you say that there was an elevator in here?",neutral,neutral,0.0417272727272727
"Uhh, yes I did but there isn't. Okay, here we go.",sadness,negative,0.0269999999999999
"Oh okay, lift it straight up over your head!",anger,negative,0.1862222222222222
Straight up over your head!,anger,negative,0.3196
"Oh, okay, I get it.",neutral,neutral,0.02
"Yes but too me he's just, man.",neutral,neutral,0.1661428571428571
"Okay, fine, whatever. Welcome to the building.",anger,negative,0.0691428571428571
It kicked! I think the baby kicked!,surprise,positive,0.0208571428571428
Oh my God!,surprise,positive,0.2573333333333333
Oh my God! I overslept! I was supposed to be on the set a half an hour ago! I gotta get out of here!,fear,negative,0.002625
You’re coming on to the entire room!  I’m Chandler.,anger,negative,0.025
You mind if I,neutral,neutral,0.0635
"So uh, what are you in for?",neutral,neutral,0.006
Previously on Friends.,neutral,neutral,0.184
I don’t know exactly. It’s-it’s sorta like wrestling.,neutral,neutral,0.105
"And it’s not fake, it’s totally brutal.",neutral,neutral,0.0322857142857142
"Oh, Bob, he was nothing compared to you. I had to bite my lip to keep from screaming your name.",sadness,negative,0.047
"Well, that makes me feel so good.",joy,positive,0.0525714285714285
It was just so awkward and bumpy.,neutral,neutral,0.0111428571428571
"Well, maybe he had some kind of uh, new, cool style, that you're not familiar with.",neutral,neutral,0.1038125
"Well there really wasn't much time to get used to it, you know what I mean?",joy,positive,0.06025
Coming through!  Oh! Coming through!  Oh! Hello! Hi!  No! Right! Coming through!,fear,negative,0.0637333333333333
"Yeah, most of the damage is pretty mostly contained in the bedrooms.",sadness,negative,0.082
My God!,surprise,negative,0.386
"Hey buddy, do you think I can borrow your uniform this Thursday?",neutral,neutral,0.0215833333333333
Joey! He’s working!  You would look,anger,negative,0.0337142857142857
"Oh, how bad is it?",sadness,negative,0.0179999999999999
How’s your room Rach?,neutral,neutral,0.03725
Isn’t that mine?,neutral,neutral,0.052
"So uh, you’re not gonna be able to live here for a while, you ladies have a place to stay?",neutral,neutral,0.0436
"Wow! Oh-okay, look pal, I am",joy,positive,0.1066666666666666
"Yes, they can stay with us.",neutral,neutral,0.1241666666666666
Have you figured out what started the fire Mr. Fireman?,neutral,neutral,0.1341
There’s just so much pressure.,anger,negative,0.1624
"I mean no offense, but what you guys do is very different.",neutral,neutral,0.0379166666666666
I don’t know if you’d understand.,neutral,neutral,0.1156666666666666
"Yeah, none of us have to deal with pressure at our jobs.",neutral,neutral,0.0906666666666666
"Well Phoebe, we gotta do something!",sadness,negative,0.1061666666666666
I mean there’s no way Joey’s gonna make it in time.,fear,negative,0.0167272727272727
"What’s all this about you guys fighting?! Is this really over a room?! I mean, that is so silly!",anger,negative,0.0673684210526315
"Ross, we can handle this.",neutral,neutral,0.0881999999999999
"Well, apparently not, and I can’t just stand by and watch two people I care about very much be hurt over something that is so silly.",sadness,negative,0.0026923076923076
"Two very good points, look I’ve known you both a long time, and I’ve never seen either of you one/millionth as happy as you’ve been since you’ve got together.",sadness,negative,0.0132758620689655
Do you really want to throw that all away over a room?,sadness,negative,0.0984999999999999
"Now wh-what is more important, love or silliness?",neutral,neutral,0.1347499999999999
Love is the best medicine.,joy,positive,0.2184
That’s laughter.,joy,positive,0.088
I don’t know.,neutral,neutral,0.1359999999999999
"Okay! All right! Now, Chandler you-you wanna live with Monica, right?",neutral,neutral,0.1186363636363636
"And Mon, you wanna live with Chandler, don’t ya?",neutral,neutral,0.0288888888888888
Yes.,neutral,neutral,0.083
Good! A verbal contract is binding in the state of New York!,joy,positive,0.0969999999999999
"Well, I'm not I'm not at all surprised they feel that way.",neutral,neutral,0.0554166666666666
"Actually it's, it's quite, y'know, typical behaviour when you have this kind of dysfunctional group dynamic.",neutral,neutral,0.037625
Define me!,anger,negative,0.132
"You just take a big, big swing.",neutral,neutral,0.2042857142857142
We’re just celebrating that Joey got his health insurance back.,joy,positive,0.1494
"Oh, all right.",neutral,neutral,0.2756666666666666
"Yeah! Sure! Yep!  Oh, y'know what? If I heard a shot right now, I'd throw my body on you.",joy,positive,0.0467
Cut it out Ross! I hate to have to save your life and kick your ass in the same day!,anger,negative,0.0562
